Ricness,PD,AvTD,EDGE1
34,6.18871522999991,7.54636164500009,40.6511674403557
11,0.716016615,0.900555893333333,13.7705965382182
2,0.232897325,0.27458626,2.60125090955013
5,0.52809731,0.38276977,5.474100019703
0,0,0,0
0,0,0,0
0,0,0,0
7,2.72882537,1.52463197,6.4291318323712
13,3.125980785,2.20134706166667,15.1110110663115
4,2.51585582,2.67231837,6.12258721749621
0,0,0,0
8,1.167184875,1.05034865,11.193292012481
31,3.30930591999991,3.37115225466676,33.0886127309483
11,2.00788025,2.45513211333333,11.7043802041483
8,1.44835094,2.3040973,10.4561877313093
10,1.26352738,1.88417837,12.5170085444064
34,8.80479819,6.86340244,40.0756012602304
18,4.60839465499991,4.76207984000009,20.1730973937595
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,0.680200075,0.5390865,6.50168342190612
40,8.828017765,8.26513929866666,40.5352659784565
43,8.74022697499991,5.75185588500009,44.2897527450538
34,6.48774230999991,6.80578931600009,41.8384294457515
37,8.324400215,6.32209842533333,39.5109143349804
76,14.1369226899999,9.91026051333342,83.6158058769076
28,2.38238283,2.42561968333333,28.532219153072
24,4.477558805,4.27107952666667,25.4178057524896
12,2.472728485,3.17595871,11.773487346451
5,1.290263665,1.45591347,5.16872674750963
23,5.428352045,4.25650792666667,27.6543112526769
12,2.2067496,1.141379115,14.4463889143301
52,8.72556255499991,6.86848073000009,59.6668389408228
21,5.29046328,4.882060908,25.0927019314551
5,0.517788985,0.69085384,4.91637673930808
11,1.16605521,1.41286647333333,11.6756436569961
11,0.982421275,0.977945228333333,12.0510570321939
0,0,0,0
1,0.037017155,0.04484755,1.06715233525451
1,0.037017155,0.04484755,1.06715233525451
3,0.16225035,0.17123388,3.065057468632
0,0,0,0
4,0.54351472,0.2409651,5.12379429536039
4,0.2795071,0.37226123,6.00062411268715
2,0.33871184,0.44083368,1.93396045113378
17,1.913731945,2.31091455866667,21.4816000669244
22,5.31986971,6.81328487666666,26.2081562452639
6,0.807834115,0.99510333,5.68037284010963
31,4.05595826499991,4.47516387200009,39.7878206318366
2,0.257748875,0.33238533,2.19577151190639
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,0.74990262,1.2858877,7.87820329335573
